# gunzip -c exp/tri/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri/graph 
# Started at Sat Dec 23 22:59:59 IST 2017
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 72.1428571429% of the time at utterance end.  This may not be optimal.
Overall, ei_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.7,35) frames.
Overall, c_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.4,15) frames.
Overall, g_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,11) frames.
Overall, ou_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.6,24) frames.
Overall, t_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.8,21) frames.
Overall, sh_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.6,17) frames.
The optional-silence phone sil occupies 30.5% of frames overall 
Limiting the stats to the 69.0% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 8.8% of frames.
Assuming 100 frames per second, the alignments represent 0.3 hours of data, or 0.2 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 3.6% of utterance-internal phones, with duration (median, mean, 95-percentile) = (19,23.7,52)
# Accounting: time=0 threads=1
# Ended (code 0) at Sat Dec 23 22:59:59 IST 2017, elapsed time 0 seconds
