# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_bigram 
# Started at Sat Dec 23 22:09:14 IST 2017
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 72.7678571429% of the time at utterance end.  This may not be optimal.
At utterance begin, sil accounts for 96.8% of phone occurrences, with duration (median, mean, 95-percentile) is (52,52.4,90) frames.
Overall, p_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,14) frames.
Overall, c_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,16) frames.
Overall, d_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,13) frames.
Overall, n_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,16) frames.
Overall, t_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,17) frames.
Overall, ou_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.9,27) frames.
Overall, c_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,14) frames.
Overall, sh_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.8,19) frames.
Overall, l_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,18) frames.
The optional-silence phone sil occupies 29.3% of frames overall 
Limiting the stats to the 71.1% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 6.9% of frames.
Assuming 100 frames per second, the alignments represent 1.7 hours of data, or 1.2 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 2.5% of utterance-internal phones, with duration (median, mean, 95-percentile) = (23,27.9,61)
# Accounting: time=0 threads=1
# Ended (code 0) at Sat Dec 23 22:09:14 IST 2017, elapsed time 0 seconds
